OTU,ave_relabd
Otu1,0.002887952922077406
Otu10,6.237831449190792e-5
Otu100,6.944050329550478e-4
Otu101,0.0014798749774801835
Otu102,0
Otu103,0.0039895101113329775
Otu104,0.004999217284242622
Otu105,5.201168754410282e-4
Otu106,0.0013245229727461296
Otu107,0
Otu108,7.523184736372818e-4
Otu109,3.6230791415809723e-4
Otu1099,1.7665092543989777e-4
Otu11,0.009457667038606612
Otu110,0.00716050781010901
Otu111,0.001857831322458278
Otu112,0.0034031182531039875
Otu113,0.00388393558003557
Otu114,0
Otu115,3.183836236464257e-4
Otu116,0.0012788176238280134
Otu117,0.009301963802628915
Otu118,7.871737042301413e-5
Otu119,2.4352407233351435e-4
Otu1196,5.158228794213118e-5
Otu12,4.025570721570464e-4
Otu120,0.0019614969280208148
Otu121,7.077205276559985e-4
Otu122,0.00600978012540195
Otu123,2.9285825516677167e-4
Otu124,6.471932653589505e-4
Otu126,0.0024058535819126642
Otu1266,1.0067626400025185e-4
Otu127,6.9398262408656375e-6
Otu1279,0
Otu128,0.005017592949446705
Otu129,5.74479327045159e-4
Otu13,4.4808359120717256e-5
Otu130,0.0032683972969792872
Otu1300,1.971121705481929e-4
Otu131,0.002319234024043973
Otu132,0
Otu133,6.638814069324117e-6
Otu134,9.01311672822987e-4
Otu135,0.006381152239393374
Otu136,0.004526178259784942
Otu137,2.1662749052844653e-4
Otu138,0.0036896862771099073
Otu1397,8.61880040569567e-4
Otu14,3.160117606462685e-6
Otu140,4.3553071780724376e-4
Otu1407,4.382051503021263e-5
Otu141,0.0025126822214991676
Otu142,3.478696462861425e-6
Otu143,5.886322226262713e-4
Otu144,0.0015832494798806744
Otu145,0.0017636606189086884
Otu146,1.2025060946324441e-4
Otu147,0.003847053950713245
Otu148,0.008451780078078293
Otu149,0.00251062261743922
Otu15,5.94050768099935e-5
Otu150,0.0040293666088687076
Otu151,0
Otu152,3.9527263453339903e-4
Otu153,0.0014014652579544043
Otu154,0.003931679299510342
Otu155,9.889596859564304e-5
Otu156,7.059041623819007e-4
Otu157,0.00361608123133772
Otu158,0.0030604998070972484
Otu159,6.884332686402483e-4
Otu16,9.12356934350026e-4
Otu160,2.511676921783276e-4
Otu161,0.003409295916313185
Otu162,3.005973384051064e-4
Otu163,0.0016371380915227588
Otu164,2.818936902161087e-4
Otu165,0.002419488533978525
Otu166,0.004559846022170338
Otu167,5.3706588246383194e-5
Otu168,7.315927914696663e-4
Otu169,3.286289316317545e-5
Otu17,8.338397615028876e-5
Otu170,3.6024983902747915e-4
Otu171,3.673368384354944e-4
Otu172,1.4207693750319674e-6
Otu173,2.2591142933508322e-4
Otu175,0.006675792889962406
Otu176,0.003676056681022603
Otu177,5.070933367206153e-4
Otu178,3.570891385343998e-4
Otu18,5.038970939685111e-4
Otu180,0.0027132849834613426
Otu181,0.0010964524890946703
Otu182,7.249718571604625e-5
Otu183,0.0031370876091949677
Otu184,9.323989267110027e-4
Otu185,0.0010142939067827917
Otu187,2.3474373306085313e-4
