OTU,A II,AA,BAC,BHI (strict anaerobes),BIL,BMM - Inulin,BMM - Mannitol,BMM - Mucin,LB,M-17 Broth,mGAM,MiPro,MRS,NCMM - Mannitol,NCMM - Mucin,Postgate,PYG,R2A - chondroitin sulfate,R2A - Fructose,R2A - glucose,R2A - Mannitol,R2A - Mucin,Reinforced Clostridial Broth,TSB,WCA,WHC,WSB,YCFA,Yeast Casitone
Otu1,0.134928493896749,0.357717290442314,0.0114512407855495,0.76276602281805,0.468212122532572,0.0716125708397733,0.0661488062028811,0.463921029283302,0.35100258090133,0.687487655540194,0.716049382716049,0.166820787867579,0.00748052835175932,0.704567883829127,0.492036881810562,0.475098978953949,0.258106757641545,0.46447657453854,0.524926964373791,0.551107822904093,0.617608907145173,0.763448884064853,0.483642951017654,0.378833958845606,0.609521176091064,0.0187929553264605,0.127337945170382,0.894692353749164,0.706386455810987
Otu10,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00136117715979186,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu100,1e+05,1e+05,0.0147009172246919,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0102240074842408,1e+05,1e+05,1e+05,0.00220545160067542,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00172015875070101,1e+05,1e+05,0.00409941070971048,1e+05,1e+05
Otu1099,0.00237084150591282,0.00667594597381173,1e+05,0.00452674054197989,1e+05,1e+05,0.00104430425017524,1e+05,0.00289855072463768,0.00187635789057871,0.0051062091503268,0.00554836323284631,1e+05,0.00179754687720288,0.00352053646269908,0.0032645690074321,1e+05,1e+05,1e+05,1e+05,0.00983677440276727,0.00139067905840852,0.00436898376727169,0.00218929295543764,0.00271901930964561,1e+05,0.00253883958726388,0.00143814790030407,0.0013751457355535
Otu11,0.027612210309828,0.00389215383029178,0.112824264250746,0.00323631224268245,0.00252734323935683,1e+05,0.00185971989757235,0.00123163663982155,0.00678975580702799,1e+05,0.00299564270152505,0.0188274459034585,0.112063140856678,0.00560411673480897,0.0196144174350377,0.00166701396124193,0.107998208070574,0.00629487557784991,0.00870736426755701,0.00626922627623535,0.00697221921954383,1e+05,0.00333889816360601,0.00546784004141323,0.00640582515323287,1e+05,0.0484475811147602,0.00157315770318975,0.0105328191484061
Otu1196,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0010418837257762,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu12,0.00117113857520995,0.00592844623157027,1e+05,0.00258085659859487,1e+05,0.00379373331459885,1e+05,1e+05,0.00142942227516379,1e+05,0.00260984023238925,0.00340299611614574,1e+05,1e+05,0.00201173512154233,0.00291727443217337,1e+05,0.00445887020097702,1e+05,0.00159651103928975,0.00767484596259864,1e+05,0.00181152985472241,1e+05,0.00221208350615236,1e+05,0.00128106584678452,0.00109768839737494,0.00106623618626249
Otu122,1e+05,1e+05,1e+05,1e+05,1e+05,0.00112406913025151,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00184409052808047,0.00125026047093144,1e+05,0.00173764794596898,1e+05,0.00109030022195397,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1266,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00134115674769489,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1279,1e+05,1e+05,1e+05,1e+05,1e+05,0.00285700903938926,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00278679387561064,1e+05,0.00101242163467155,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
