OTU,5% Sheep Blood,5% Sheep Blood + Amp,5% Sheep Blood + Amp Kan Ery,5% Sheep Blood + Cip,5% Sheep Blood + Crb,5% Sheep Blood + Ery,5% Sheep Blood + Kan,5% Sheep Blood + Neo,5% Sheep Blood + Pen,5% Sheep Blood + Pen Crb Cip,5% Sheep Blood + Van,5% Sheep Blood + Van Amp Ery,A II,AA,BARN,BHI,BHI (strict anaerobes),BHI + Amp,BHI + Amp Kan Ery,BHI + Cip,BHI + Crb,BHI + Ery,BHI + FBS (5%),BHI + FBS (5%) + Amp,BHI + FBS (5%) + Amp Kan Ery,BHI + FBS (5%) + Cip,BHI + FBS (5%) + Crb,BHI + FBS (5%) + Ery,BHI + FBS (5%) + Kan,BHI + FBS (5%) + Neo,BHI + FBS (5%) + Pen,BHI + FBS (5%) + Pen Crb Cip,BHI + FBS (5%) + Van,BHI + FBS (5%) + Van Amp Ery,BHI + Kan,BHI + Neo,BHI + Pen,BHI + Pen Crb Cip,BHI + Van,BHI + Van Amp Ery,BMM - Azo-Galactomannon,BMM - chondroitin sulfate,BMM - Fructose,BMM - glucose,BMM - Inulin,BMM - Mannitol,BMM - Mucin,BMM - Pullulan,BMM - raffinose,BMM - Resistant Starch,BMM - Soluble Starch,BMM - Sorbitol,COR,LB,M-17 Broth,mGAM,mGAM + Amp,mGAM + Amp Kan Ery,mGAM + Cip,mGAM + Crb,mGAM + Ery,mGAM + Kan,mGAM + Pen,mGAM + Pen Crb Cip,mGAM + Van,mGAM + Van Amp Ery,MiPro,MiPro + Amp,MiPro + Amp Kan Ery,MiPro + Cip,MiPro + Crb,MiPro + Ery,MiPro + Kan,MiPro + Neo,MiPro + Pen,MiPro + Pen Crb Cip,MiPro + Van,MiPro + Van Amp Ery,mOs-SRB,MRS,MT10,Mucus,Mucus + Amp,Mucus + Amp Kan Ery,Mucus + Cip,Mucus + Crb,Mucus + Ery,Mucus + Kan,Mucus + Neo,Mucus + Pen,Mucus + Pen Crb Cip,Mucus + Van,Mucus + Van Amp Ery,NCMM - Mannitol,NCMM - Mucin,Postgate,Postgate + Amp,Postgate + Amp Kan Ery,Postgate + Cip,Postgate + Crb,Postgate + Ery,Postgate + Kan,Postgate + Neo,Postgate + Pen,Postgate + Van,Postgate + Van Amp Ery,PYG,R2A - Azo-Galactomannon,R2A - chondroitin sulfate,R2A - Fructose,R2A - glucose,R2A - Inulin,R2A - Mannitol,R2A - Mucin,R2A - Pullulan,R2A - raffinose,R2A - Resistant Starch,R2A - Soluble Starch,R2A - Sorbitol,Reinforced Clostridial Broth,Starting sample 1,Starting sample 2,TGB,TSB,WCA,WHC,WSB,YCFA,YCFA + Amp,YCFA + Cip,YCFA + Crb,YCFA + Ery,YCFA + Kan,YCFA + Neo,YCFA + Pen,YCFA + Pen Crb Cip,YCFA + Van,YCFA + Van Amp Ery,Yeast Casitone
Otu63,1e-05,6.42866326661809e-05,1e-05,5.39560581862131e-05,1.67869733087124e-05,1.29088890610074e-05,1e-05,1e-05,5.51024906325766e-05,0.000461680517082179,1e-05,9.31619154089808e-05,2.46883100851747e-05,1e-05,0.000104058272632674,1e-05,4.49036591991881e-06,7.37984038459511e-05,0.00142045454545455,1.13251565702896e-05,0.000351308624626735,0.000108310091792803,1e-05,1e-05,0.000384911470361817,5.47862650833436e-06,1e-05,0.000252338069929188,1e-05,1e-05,3.11822759943248e-06,0.000921962462956865,1e-05,8.46238470000846e-05,1.36789549278435e-05,1.55233704341887e-05,0.00042947127314373,0.00115821516073948,1e-05,0.00119111184129462,2.96008619771008e-05,0.000352162276376955,1e-05,4.9040281687378e-06,5.64958983977763e-06,6.54351766422593e-06,0.000534330750734705,9.00819745968832e-05,3.17327342193113e-05,1e-05,3.30753456373619e-05,1.18287900922054e-05,0.000905218317358892,7.02612312578166e-06,1e-05,4.75252041999607e-05,0.000600517368810052,0.000856604420078808,0.000354582742362096,0.000781428059779247,0.000461771884688964,1e-05,0.000759677632448144,0.00074220682830282,2.01012701992639e-06,0.00061652281134402,1e-05,0.000407582938388626,1e-05,7.31207955542556e-05,0.000727625515401407,0.000303191086182066,2.25136488996454e-05,1e-05,0.000303158915903717,0.000487759557764668,2.25419844460307e-05,0.000149350326081545,4.79955320522889e-05,1e-05,0.00144779424288878,1e-05,1e-05,0.000501756146512795,1e-05,1e-05,1e-05,3.73046170681058e-05,1e-05,1e-05,0.00020393596410727,1e-05,0.000859500343800137,5.62429696287964e-05,0.000764720876879939,1e-05,6.07636779038962e-06,1e-05,1e-05,1e-05,3.95194435662346e-05,1e-05,1e-05,0.000166052273255621,1e-05,1e-05,1e-05,4.45179485238961e-06,0.000106427237632671,3.90889664877261e-05,5.04405138207008e-05,1.96512557152402e-05,1e-05,0.000668538574675759,1e-05,1.35193597231235e-05,1.4534461207523e-05,1.68758427373967e-06,0.000210438845931785,5.83413552696829e-06,0.00835552323135543,0.00735972623204024,5.9647364779424e-06,1.00652226427249e-05,8.20795679331544e-06,1e-05,2.85786957254845e-05,1e-05,0.000595592614651578,1e-05,1e-05,0.000987004441519987,1.77793581651702e-05,1.01927448042483e-05,0.000810011745170305,0.000269832703723691,3.62723619111182e-05,0.000552608311229001,0.000166997030357156
Otu64,1e-05,1e-05,1e-05,1e-05,5.03609199261373e-05,0.000219451114037126,1e-05,1.50806816468104e-05,7.57659246197928e-05,0.000600184672206833,1.23285560178764e-05,0.000279485746226942,4.16615232687323e-05,4.13088289360085e-06,0.000416233090530697,1e-05,1e-05,0.000368992019229755,0.00142045454545455,2.26503131405792e-05,0.000878271561566836,2.70775229482007e-05,0.000741839762611276,1e-05,0.00115473441108545,5.47862650833436e-06,1.08543455372358e-05,7.88556468528711e-05,1e-05,1.59144439493284e-05,5.30098691903522e-05,0.00032927230819888,1e-05,0.000380807311500381,1e-05,1e-05,0.000882802061462111,0.00069789887890712,1e-05,0.000369655399022467,5.92017239542015e-05,0.000246513593463868,1e-05,1.47120845062134e-05,1.12991796795553e-05,2.61740706569037e-05,1e-05,0.000180163949193766,1.90396405315868e-05,7.62524464326564e-05,9.92260369120857e-05,2.95719752305135e-05,0.000692225772097977,7.02612312578166e-06,1e-05,7.60403267199371e-05,0.0014320029563932,0.00154188795614185,0.000354582742362096,0.00104190407970566,0.00174813642060822,1e-05,0.000825736557008852,0.0008246742536698,1e-05,0.00022018671833715,3.01419081033506e-06,9.47867298578199e-05,0.000790670092903736,0.000731207955542556,0.000485083676934271,0.000151595543091033,2.25136488996454e-05,1e-05,0.000818529072940035,0.000487759557764668,3.00559792613743e-05,0.000348484094190272,4.36323018657172e-05,3.47188467787854e-05,0.00187361607903253,1e-05,5.80814534302906e-05,1e-05,1e-05,0.000508026823816297,0.000171732783788425,3.73046170681058e-05,1e-05,0.000109769484083425,0.00112164780258999,2.50123811286587e-06,0.000401100160440064,0.000281214848143982,0.00191180219219985,1.12617051347745e-05,3.64582067423377e-05,1e-05,2.41569233742391e-05,1e-05,0.000474233322794815,2.54770579093526e-05,9.01321665314684e-05,8.30261366278104e-05,2.96189229374863e-06,0.000226623759234918,1.42989919210696e-05,2.67107691143377e-05,0.000178991263291311,5.21186219836348e-05,0.000134508036855202,3.27520928587337e-05,8.90733697346504e-06,0.000935954004546062,3.68259018663367e-05,5.85838921335352e-05,1.4534461207523e-05,3.03765169273141e-05,0.000264397524375833,2.33365421078732e-05,0.00808119871783399,0.00828482254044604,5.9647364779424e-06,1.50978339640873e-05,8.20795679331544e-06,1.58795693460793e-05,2.71497609392103e-05,1.6345713795573e-05,0.000744490768314473,4.42613010166821e-06,1e-05,0.000164500740253331,3.55587163303405e-05,2.03854896084967e-05,0.000607508808877729,0.000809498111171074,4.35268342933418e-05,0.000939434129089301,0.000217822213509334
Otu66,1e-05,3.21433163330905e-05,0.000200521355524363,2.15824232744853e-05,3.35739466174249e-05,0.000154906668732089,1e-05,1e-05,4.13268679744324e-05,0.000738688827331487,6.1642780089382e-06,0.000139742873113471,4.08900135785705e-05,1e-05,0.000624349635796046,1.7851723583912e-05,2.69421955195129e-05,0.000147596807691902,0.00177556818181818,3.39754697108688e-05,8.78271561566837e-05,0.000649860550756817,0.000741839762611276,1.05992834884362e-05,1e-05,8.21793976250154e-06,1.08543455372358e-05,0.000425820493005504,1e-05,1e-05,1.87093655965949e-05,0.00111952584787619,1e-05,0.000634678852500635,1e-05,1e-05,0.000310173697270471,0.0013067042839112,1e-05,0.000903602086499363,4.73613791633612e-05,0.000176081138188477,1e-05,4.9040281687378e-06,1e-05,1.96305529926778e-05,0.000267165375367352,0.000150136624328139,6.34654684386225e-06,5.08349642884376e-05,1e-05,2.66147777074622e-05,0.000479233226837061,1.40522462515633e-05,1e-05,0.000114060490079906,0.000785291943828529,0.000685283536063046,0.000172499712500479,0.00126982059714128,0.000824592651230292,1e-05,0.000693618707887436,0.0016493485073396,6.03038105977917e-06,0.00083670952968117,3.01419081033506e-06,0.000303317535545024,1e-05,0.000146241591108511,0.000727625515401407,7.57977715455166e-05,1.12568244498227e-05,1e-05,0.000121263566361487,0.000255493101686254,1e-05,0.000298700652163091,3.92690716791455e-05,6.94376935575708e-06,0.00144779424288878,1e-05,1e-05,0.000501756146512795,6.87426960885406e-05,0.000812842918106076,0.000686931135153701,2.48697447120705e-05,1e-05,0.000768386388583974,0.00020393596410727,1e-05,0.000859500343800137,0.000112485939257593,0.000892174356359929,1.68925577021617e-05,1e-05,1e-05,4.83138467484781e-05,1.54662294879131e-05,0.000414954157445463,0.000152862347456116,7.37444998893833e-05,0.000265683637208993,5.92378458749726e-06,0.000181299007387935,1e-05,6.67769227858442e-06,0.000145128051317279,3.90889664877261e-05,3.36270092138005e-05,1.96512557152402e-05,8.90733697346504e-06,0.000133707714935152,1.84129509331684e-05,2.7038719446247e-05,1.93792816100307e-05,1.85634270111364e-05,0.000232022317309404,1.75024065809049e-05,0.00688337076580532,0.00740775672004746,1e-05,1e-05,1e-05,7.93978467303967e-06,2.92931631186216e-05,1.12931162551775e-05,0.000446694460988684,1e-05,0.000778058743435129,0.000767670121182212,1e-05,1e-05,0.000931513506945851,0.00094441446303292,7.25447238222364e-05,0.0013815207780725,0.000239604434860267
Otu67,1e-05,1.07144387776968e-05,0.000200521355524363,0.000215824232744853,3.35739466174249e-05,3.87266671830222e-05,1.52730049637266e-05,1e-05,2.06634339872162e-05,0.00332409972299169,3.0821390044691e-05,0.000139742873113471,7.9465498086656e-05,0.000417219172253686,0.000312174817898023,1e-05,0.000754381474546361,5.27131456042508e-05,1e-05,6.79509394217375e-05,1e-05,0.000676938073705017,1e-05,1.05992834884362e-05,0.000769822940723634,6.84828313541795e-05,1.08543455372358e-05,9.46267762234454e-05,1e-05,1e-05,1e-05,0.00032927230819888,1e-05,1e-05,1e-05,1e-05,1e-05,4.45467369515183e-05,3.12178066369057e-05,0.0184827699511233,4.14412067679411e-05,0.000105648682913086,1e-05,1e-05,1e-05,1.96305529926778e-05,1e-05,9.00819745968832e-05,6.34654684386225e-06,5.08349642884376e-05,9.92260369120857e-05,1.47859876152568e-05,0.00346112886048988,0.00962578868232087,1e-05,0.000119413516492871,0.000254065040650407,0.000856604420078808,0.00029708283819527,0.000325595024908019,0.000230885942344482,1e-05,0.000396353547364249,0.0004123371268349,2.01012701992639e-06,8.807468733486e-05,3.01419081033506e-06,5.68720379146919e-05,1e-05,0.000511845568879789,1e-05,0.00022739331463655,1e-05,1e-05,0.000454738373855575,1e-05,1e-05,1e-05,3.49058414925738e-05,1.38875387115142e-05,0.00195878044626128,2.11059518784297e-05,0.000267174685779337,0.00100351229302559,0.00103114044132811,0.00010160536476326,1e-05,1e-05,1e-05,0.000329308452250274,0.000815743856429081,1e-05,0.000401100160440064,0.000168728908886389,0.00025490695895998,0.000323386476818539,0.000103298252436623,1e-05,0.641583727896415,0.000139196065391218,0.000375434713879229,5.09541158187053e-05,8.19383332104258e-05,6.64209093022483e-05,0.00071381604279342,0.00049857227031682,0.000271680846500322,4.45179485238961e-05,0.000754665866849851,3.90889664877261e-05,0.000100881027641402,0.000189962138580655,5.34440218407903e-05,0.000267415429870304,0.000618675151354457,4.95709856514529e-05,2.90689224150461e-05,6.75033709495868e-05,0.000237418185153809,3.50048131618098e-05,0.00339409677064848,0.00326869302929161,2.9823682389712e-05,9.05870037845237e-05,0.0161204271420715,2.3819354019119e-05,2.28629565803876e-05,4.39845438463235e-05,0.000446694460988684,0.000265567806100093,0.000194514685858782,0.000712836541097768,1e-05,1.01927448042483e-05,0.000243003523551091,0.000269832703723691,2.90178895288946e-05,0.000497347480106101,0.0573235458552063
Otu68,1e-05,1e-05,0.000401042711048727,1e-05,1.67869733087124e-05,2.58177781220148e-05,1e-05,1e-05,6.88781132907207e-06,1e-05,1e-05,1e-05,3.163189729663e-05,1e-05,0.000312174817898023,1e-05,4.49036591991881e-06,3.16278873625505e-05,1e-05,1e-05,8.78271561566837e-05,0.000216620183585606,1e-05,1e-05,1e-05,1e-05,1e-05,7.88556468528711e-05,1e-05,1e-05,1e-05,0.000131708923279552,1e-05,0.000253871541000254,1e-05,1e-05,0.00014315709104791,0.000653352141955602,1e-05,0.000287509754795252,1e-05,0.000176081138188477,1e-05,1e-05,1e-05,1e-05,0.000534330750734705,1e-05,1.90396405315868e-05,1e-05,1e-05,2.95719752305135e-06,0.00053248136315229,1e-05,1e-05,6.9703632826609e-05,0.000277161862527716,0.00137056707212609,0.000201249664583892,0.000683749552306841,0.000164918530246058,1e-05,0.000858766019289206,0.00049480455220188,1e-05,8.807468733486e-05,1e-05,1e-05,0.000197667523225934,1e-05,0.000121270919233568,1e-05,1e-05,1e-05,6.06317831807433e-05,1e-05,1e-05,1e-05,8.72646037314345e-06,1e-05,0.00153295861011753,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,8.70441064922469e-05,1e-05,0.000548847420417124,0.000101967982053635,1e-05,5.73000229200092e-05,1e-05,0.000509813917919959,2.81542628369361e-06,1.21527355807792e-05,1e-05,1e-05,1e-05,5.92791653493519e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4.45179485238961e-06,0.000101589635922095,1e-05,1.68135046069003e-05,1e-05,1e-05,0.000534830859740607,1e-05,1e-05,1e-05,1e-05,0.000269793392220238,1e-05,0.00660168632631135,0.00678452475142039,5.9647364779424e-06,1e-05,1e-05,1e-05,2.5720826152936e-05,1e-05,0.000446694460988684,1e-05,0.000194514685858782,0.000548335800844437,1e-05,1e-05,0.000202502936292576,0.000269832703723691,1e-05,0.0012157382847038,0.000232343694409956
Otu69,0.00314085527905291,3.21433163330905e-05,0.00060156406657309,1e-05,3.35739466174249e-05,0.000154906668732089,0.00247422680412371,0.00470517267380486,6.88781132907207e-06,4.61680517082179e-05,0.0182277700724303,0.000279485746226942,0.00131233798296507,0.00211088115863003,0.000416233090530697,0.00135673099237731,0.00247868198779519,3.16278873625505e-05,0.000355113636363636,1.13251565702896e-05,1e-05,0.000352007798326609,0.00890207715133531,0.000116592118372798,1e-05,1e-05,4.34173821489433e-05,0.000189253552446891,2.04976837617349e-05,0.00219619326500732,2.49458207954599e-05,6.58544616397761e-05,0.0031963689544125,1e-05,1.36789549278435e-05,0.00898803148139524,0.00274384424508494,0.000282129334026283,0.000858489682514907,1e-05,5.92017239542016e-06,1e-05,0.000307881773399015,9.8080563374756e-06,5.64958983977763e-06,6.54351766422593e-06,0.000534330750734705,3.00273248656277e-05,2.5386187375449e-05,2.54174821442188e-05,0.000132301382549448,1.18287900922054e-05,0.0243343982960596,0.00240293410901733,0.00566142844187643,0.01515415899459,0.000531226903178123,0.00102792530409457,0.000642082263196228,0.000879106567251652,6.59674120984234e-05,2.80272985888255e-05,0.00161844365173735,1e-05,0.0155282312289314,0.00022018671833715,0.00339433076383044,0.000255924170616114,0.000197667523225934,0.0026323486399532,0.00109143827310211,0.00113696657318275,1.12568244498227e-05,7.09985232307168e-05,3.03158915903717e-05,4.64532912156826e-05,0.0669046098358192,0.000298700652163091,0.0032244271078765,6.94376935575708e-05,0.00170328734457503,0.000168847615027438,0.000650512278419255,1e-05,1e-05,1e-05,1e-05,1.24348723560353e-05,0.000607644163577809,0.000109769484083425,1e-05,0.000382689431268478,1e-05,0.000562429696287964,1e-05,0.000803205784345169,0.015798556255013,1e-05,7.24707701227172e-05,1e-05,0.000118558330698704,1.27385289546763e-05,0.00189277549716084,6.64209093022483e-05,0.000124399476337442,1e-05,0.00313862872667477,0.00151806204466486,0.00327505635805993,1.30296554959087e-05,1e-05,3.93025114304804e-05,2.67220109203951e-05,0.000534830859740607,0.00230161886664604,2.7038719446247e-05,4.36033836225691e-05,2.70013483798347e-05,0.000210438845931785,2.33365421078732e-05,0.000901089118499994,0.00083980580545964,1.19294729558848e-05,0.00018620661889041,0.0016990470562163,0.00295359989837076,0.0033208444433013,0.00181945372554389,0.000446694460988684,0.00510332800722344,0.00213966154444661,0.000109667160168887,7.1117432660681e-05,7.13492136297384e-05,4.05005872585152e-05,0.000269832703723691,0.0709559943705294,1e-05,0.00516238646017121
Otu7,1e-05,1e-05,0.00300782033286545,3.23736349117279e-05,0.000117508813160987,0.000258177781220148,1e-05,1e-05,0.000130868415252369,0.00327793167128347,1e-05,0.0019564002235886,0.00018979138377978,4.13088289360085e-06,0.000208116545265349,1.7851723583912e-05,4.49036591991881e-06,0.000231937840658703,0.000355113636363636,1.13251565702896e-05,1e-05,0.000270775229482007,1e-05,1e-05,1e-05,4.65683253208421e-05,2.17086910744717e-05,9.46267762234454e-05,1e-05,1e-05,1.87093655965949e-05,0.000197563384919328,1e-05,0.000465431158500465,1.36789549278435e-05,1e-05,0.000524909333842336,0.00126215754695969,7.80445165922642e-06,0.000369655399022467,2.96008619771008e-05,0.000457810959290041,1e-05,9.8080563374756e-06,1.12991796795553e-05,3.27175883211297e-05,0.00106866150146941,0.00039035522325316,6.98120152824848e-05,0.000101669928576875,6.61506912747238e-05,1.77431851383081e-05,0.00399361022364217,7.02612312578166e-06,1e-05,0.000453073613372959,0.000346452328159645,0.00479698475244132,0.000182083029861617,0.00123726109465047,0.00079160894518108,1e-05,0.00168450257629806,0.00156688108197262,6.03038105977917e-06,0.00096882156068346,3.01419081033506e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.000255493101686254,1e-05,0.000248917210135909,5.23587622388607e-05,1.38875387115142e-05,0.0117526826775677,1e-05,1.16162906860581e-05,0.00100351229302559,1e-05,0.000508026823816297,0.000686931135153701,1e-05,1e-05,1e-05,0.00214132762312634,2.50123811286587e-06,0.000974100389640156,0.000506186726659168,0.00152944175375988,3.09696891206298e-05,1e-05,1e-05,2.41569233742391e-05,3.09324589758263e-05,0.00043471387922858,8.91697026827342e-05,1e-05,0.000182657500581183,2.96189229374863e-06,9.06495036939673e-05,1e-05,2.67107691143377e-05,0.000653076230927755,3.90889664877261e-05,1.68135046069003e-05,1.31008371434935e-05,8.90733697346504e-06,0.00147078486428667,3.68259018663367e-06,1e-05,4.84482040250768e-06,1.68758427373967e-06,0.00105219422965893,1.16682710539366e-05,0.0554020100292373,0.0551232811634905,1.78942094338272e-05,1.00652226427249e-05,1e-05,1e-05,0.00013360540251664,1.12931162551775e-05,0.00193567599761763,1e-05,0.00136160280101148,0.0021385096232933,1e-05,1.01927448042483e-05,0.00263253817180349,0.00269832703723691,1e-05,0.00375773651635721,0.00103828588439449
Otu70,0.000638525523763504,1.07144387776968e-05,0.000200521355524363,1.07912116372426e-05,1e-05,0.000103271112488059,0.000152730049637266,0.000135726134821294,6.88781132907207e-06,6.92520775623269e-05,3.0821390044691e-05,1e-05,0.000995247500308604,0.000896401587911384,0.000624349635796046,1e-05,0.000143691709437402,9.48836620876514e-05,0.000355113636363636,2.26503131405792e-05,1e-05,1e-05,0.000741839762611276,3.17978504653085e-05,1e-05,1e-05,1e-05,0.00011039790559402,3.07465256426024e-05,1e-05,1e-05,1e-05,1e-05,0.000126935770500127,2.7357909855687e-05,1.55233704341887e-05,7.1578545523955e-05,0.000207884772440419,1e-05,1e-05,0.000544655860378654,3.52162276376955e-05,0.000307881773399015,4.9040281687378e-06,0.00721452622539604,1.30870353284519e-05,1e-05,0.00027024592379065,0.000152317124252694,0.000533767125028595,0.000429979493285705,0.000600311097179425,0.00149094781682641,0.00021078369377345,0.00491002603997979,8.77300470262301e-05,0.000184774575018477,1e-05,9.58331736113773e-06,0.00016279751245401,0.000131934824196847,1e-05,0.000198176773682124,1e-05,1e-05,4.403734366743e-05,0.000207998798782519,1e-05,1e-05,1e-05,1e-05,1e-05,2.25136488996454e-05,5.67988185845734e-05,1e-05,1e-05,1e-05,1e-05,0.000514861162015463,5.55501548460566e-05,0.00459887583035258,0.00517095821021528,1.16162906860581e-05,0.00250878073256397,1e-05,1e-05,0.00034346556757685,0.000136783595916388,0.00113426910534524,0.000768386388583974,1e-05,1e-05,1e-05,0.000899887514060742,0.00012745347947999,0.00240088990906025,0.00788712539192572,1e-05,7.24707701227172e-05,3.09324589758263e-05,5.92791653493519e-05,0.0231968612264656,0.00979163081864589,0.00913287502905915,2.3695138349989e-05,0.000407922766622853,0.0238650175162651,0.000380628459879312,0.000454734560794141,0.000234533798926356,1e-05,6.55041857174673e-06,4.45366848673252e-05,0.00160449257922182,0.000464006363515843,9.01290648208234e-06,3.39137428175538e-05,2.5313764106095e-05,0.000221230581620595,1e-05,0.00167505224292908,0.00149767794422525,3.57884188676544e-05,9.56196151058861e-05,0.00655815747785904,0.0950630418903039,0.01091134602799,0.00163149272754201,0.000148898153662895,0.00320009206350611,0.000389029371717565,1e-05,5.33380744955107e-05,6.115646882549e-05,1e-05,0.000134916351861846,1e-05,0.0001105216622458,0.0138026675960414
Otu71,3.45148931764056e-05,2.14288775553937e-05,1e-05,4.31648465489705e-05,5.03609199261373e-05,1.29088890610074e-05,1.52730049637266e-05,1.50806816468104e-05,6.88781132907207e-06,0.000207756232686981,0.0363199260286639,4.65809577044904e-05,0.000249197629922232,0.000264376505190454,0.000312174817898023,1e-05,0.000458017323831719,2.10852582417003e-05,1e-05,1.13251565702896e-05,1e-05,0.00040616284422301,1e-05,4.23971339537447e-05,0.00153964588144727,2.73931325416718e-06,1.08543455372358e-05,1e-05,1e-05,1e-05,6.23645519886497e-06,1e-05,0.00124087806895737,0.000126935770500127,2.7357909855687e-05,3.10467408683773e-05,0.000262454666921168,1e-05,0.00217744201292417,8.21456442272148e-05,5.92017239542016e-06,1e-05,1e-05,9.8080563374756e-06,1e-05,6.54351766422593e-06,0.000267165375367352,1e-05,1e-05,1e-05,1e-05,8.87159256915406e-06,0.000372736954206603,0.000196731447521886,9.06864967806294e-05,6.92117990864274e-05,1e-05,0.000513962652047285,1e-05,0.000390714029889623,0.000362820766541329,1e-05,0.000231206235962479,0.00032986970146792,7.03544456974236e-05,1e-05,1e-05,9.47867298578199e-06,1e-05,7.31207955542556e-05,0.000363812757700703,0.000454786629273099,1e-05,1.41997046461434e-05,0.000151579457951858,0.000418079620941144,4.50839688920615e-05,0.000348484094190272,0.000388327486604883,0.000152762925826656,0.00110713677397377,0.00211059518784297,0.000116162906860581,0.00150526843953838,0.00268096514745308,0.00142247510668563,0.000686931135153701,0.000136783595916388,0.00147860079803933,0.000768386388583974,0.000407871928214541,0.0397921971375831,0.00068760027504011,0.000112485939257593,0.000637267397399949,5.49711038130692e-05,1e-05,1e-05,1e-05,1e-05,3.95194435662346e-05,1e-05,8.19383332104258e-06,1e-05,4.73902766999781e-05,1e-05,0.000135840423250161,0.000311625639667273,0.000193504068423039,0.0002996820764059,0.00773421211917412,0.000713995624320394,0.000703679620903738,1e-05,0.000224638001384654,0.0376378974691759,0.000247085840527892,0.000565340731702789,0.000437065295396785,0.00334295965695283,0.00208954989201818,0.0019002607618858,0.0309390881110873,0.00033215234720992,9.84954815197853e-05,1e-05,2.78642283323474e-05,0.00101844422597402,0.000595592614651578,1e-05,1e-05,0.000219334320337775,5.33380744955107e-05,1e-05,1e-05,0.000269832703723691,9.43081409689073e-05,1e-05,0.000108911106754667
Otu72,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4.82146793035045e-05,0.000484764542936288,1e-05,0.000372647661635923,3.00888779163066e-05,4.13088289360085e-06,1e-05,1e-05,4.49036591991881e-06,0.000179224695054453,0.00106534090909091,3.39754697108688e-05,0.000263481468470051,0.000189542660637405,1e-05,2.11985669768724e-05,1e-05,2.73931325416718e-06,3.25630366117075e-05,1.57711293705742e-05,1e-05,1e-05,6.23645519886497e-06,6.58544616397761e-05,1e-05,0.000126935770500127,1.36789549278435e-05,1e-05,0.000167016606222562,0.000490014106466701,1e-05,0.000205364110568037,2.36806895816806e-05,3.52162276376955e-05,1e-05,1e-05,1.12991796795553e-05,6.54351766422593e-06,0.000267165375367352,6.00546497312554e-05,1.26930936877245e-05,1e-05,1e-05,2.95719752305135e-06,0.000798722044728434,1e-05,1e-05,0.00010138710229325,0.000438839615668884,0.000342641768031523,0.000124583125694791,9.76785074724058e-05,0.000527739296787387,1e-05,0.000132117849121416,1e-05,2.01012701992639e-06,0.00026422406200458,3.01419081033506e-06,0.000132701421800948,0.000790670092903736,1e-05,0.000606354596167839,0.000303191086182066,1e-05,1e-05,9.0947674771115e-05,0.00069679936823524,3.75699740767179e-05,0.000298700652163091,8.72646037314345e-06,2.08313080672712e-05,0.00187361607903253,1e-05,3.48488720581744e-05,1e-05,1e-05,0.000203210729526519,1e-05,1e-05,1e-05,0.00021953896816685,0.000509839910268176,1e-05,0.000859500343800137,1e-05,0.000892174356359929,1e-05,1.21527355807792e-05,0.000369139904023625,7.24707701227172e-05,1e-05,0.000237116661397408,1e-05,1e-05,1.66052273255621e-05,2.96189229374863e-06,0.000362598014775869,1e-05,6.67769227858442e-06,0.000169316059870159,3.90889664877261e-05,1.68135046069003e-05,6.55041857174673e-06,1.78146739469301e-05,0.000802246289610911,1e-05,9.01290648208234e-06,4.84482040250768e-06,5.06275282121901e-06,0.000307564467131071,1e-05,0.00597793260013974,0.00651031432897915,1e-05,5.03261132136243e-06,1e-05,1e-05,3.07220979048958e-05,1e-05,0.00104228707564026,1e-05,0.000194514685858782,0.000219334320337775,1e-05,1e-05,0.000526507634360698,0.000269832703723691,1e-05,0.0002210433244916,0.000290429618012445
