OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu895,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiaceae_1,0.7900,Clostridium_sensu_stricto,0.4300
Otu897,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Pseudomonadaceae,1.0000,Pseudomonas,1.0000
Otu898,Bacteria,1.0000,Bacteroidetes,1.0000,Flavobacteriia,1.0000,Flavobacteriales,1.0000,Weeksellaceae,0.7000,Chryseobacterium,0.5400
Otu899,Bacteria,1.0000,Firmicutes,0.6300,Clostridia,0.6000,Clostridiales,0.6000,Ruminococcaceae,0.4100,Prevotella,0.2500
Otu905,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9700,Muribaculum,0.7300
Otu901,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Eubacteriaceae,1.0000,Eubacterium,1.0000
Otu900,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Enterococcaceae,0.9900,Enterococcus,0.9900
Otu903,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Anaerotruncus,0.7100
Otu902,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9200,Cuneatibacter,0.3500
Otu904,Bacteria,1.0000,Firmicutes,0.8900,Clostridia,0.8000,Clostridiales,0.8000,Clostridiales_Incertae_Sedis_XIII,0.3800,Ihubacter,0.2900
Otu906,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9600,Pseudobacteroides,0.5500
Otu907,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Pediococcus,1.0000
Otu908,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9900,Clostridiales,0.9900,Eubacteriaceae,0.9900,Anaerofustis,0.9900
Otu910,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Clostridium_XlVa,0.5900
Otu909,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,0.9900,Clostridiaceae_4,0.1700,Anaerosolibacter,0.1600
Otu911,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Anaerotruncus,0.4900
Otu913,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Peptoniphilaceae,1.0000,Anaerococcus,1.0000
Otu912,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Eubacteriaceae,1.0000,Intestinibacillus,1.0000
Otu914,Bacteria,1.0000,Firmicutes,0.9500,Clostridia,0.9100,Clostridiales,0.9100,Lachnospiraceae,0.1800,Anaerovorax,0.0700
Otu915,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Pseudomonadaceae,1.0000,Pseudomonas,1.0000
Otu916,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,1.0000,Burkholderiales,1.0000,Comamonadaceae,1.0000,Aquabacterium,0.8200
Otu917,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Moraxellaceae,1.0000,Acinetobacter,1.0000
Otu918,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9600,Ruminococcus,0.3000
Otu921,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Coriobacteriales,1.0000,Atopobiaceae,1.0000,Olsenella,1.0000
Otu920,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Moraxellaceae,1.0000,Moraxella,1.0000
Otu919,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9800,Clostridiales,0.9800,Clostridiales_Incertae_Sedis_XIII,0.9200,Ihubacter,0.7900
Otu922,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Intestinimonas,0.9700
Otu924,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Actinomycetales,1.0000,Actinomycetaceae,1.0000,Actinomyces,0.8300
Otu923,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Pseudomonadaceae,1.0000,Azotobacter,0.5300
Otu926,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lactonifactor,1.0000
Otu927,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.6200,Hespellia,0.2100
Otu925,Bacteria,1.0000,Proteobacteria,1.0000,Alphaproteobacteria,1.0000,Rhizobiales,0.9900,Phyllobacteriaceae,0.9800,Phyllobacterium,0.9800
Otu928,Bacteria,1.0000,Firmicutes,0.7400,Clostridia,0.7000,Clostridiales,0.6700,Ruminococcaceae,0.4600,Ethanoligenens,0.2500
Otu929,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Prevotellaceae,1.0000,Prevotella,1.0000
Otu931,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9600,Muribaculum,0.9000
Otu930,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Clostridium_IV,0.5300
Otu932,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.4300
Otu934,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9000,Duncaniella,0.5300
Otu933,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.8900,Clostridium_XlVa,0.1700
Otu937,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Peptoniphilaceae,1.0000,Anaerococcus,1.0000
Otu935,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Anaerotruncus,0.9500
Otu936,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,1.0000,Burkholderiales,1.0000,Burkholderiales_incertae_sedis,0.9600,Sphaerotilus,0.9600
Otu939,,,Bacteria,1.0000,Cyanobacteria/Chloroplast,1.0000,Chloroplast,1.0000,Chloroplast,1.0000,Streptophyta,1.0000
Otu938,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9800,Blautia,0.3400
Otu940,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9800,Sporobacter,0.5500
Otu941,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Acetanaerobacterium,0.2400
Otu942,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,1.0000,Burkholderiales,1.0000,Comamonadaceae,1.0000,Tepidimonas,0.9900
Otu943,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,0.9900,Ruminococcaceae,0.9600,Papillibacter,0.5600
Otu944,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Sellimonas,0.4300
Otu945,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Flintibacter,0.9900
Otu947,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Hydrogenoanaerobacterium,0.8700
Otu946,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9700,Clostridiales,0.9700,Clostridiales_Incertae_Sedis_XIII,0.7300,Aminipila,0.3400
Otu948,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Enterobacterales,1.0000,Enterobacteriaceae,1.0000,Escherichia/Shigella,0.7700
Otu949,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Actinomycetales,0.7500,Actinomycetaceae,0.7500,Fudania,0.4100
Otu950,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Moraxellaceae,1.0000,Psychrobacter,1.0000
Otu951,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,0.9800,Lactobacillales,0.9800,Lactobacillaceae,0.9800,Limosilactobacillus,0.9000
Otu952,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9800,Clostridium_IV,0.3900
Otu955,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Bacteroidaceae,1.0000,Bacteroides,1.0000
Otu954,Bacteria,1.0000,Firmicutes,0.5100,Bacilli,0.2700,Clostridiales,0.1900,Spiroplasmataceae,0.1300,Spiroplasma,0.1300
Otu953,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Aerococcaceae,1.0000,Abiotrophia,1.0000
Otu956,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,1.0000,Moraxellaceae,1.0000,Acinetobacter,1.0000
